model,theta,path_index,path_phase,levels,maximum_depth,target_only_budget,anchored_budget,nuisance_total_variation,minimum_visibility,known_fisher,anchored_efficient_fisher,unanchored_efficient_fisher,stationary_unknown_fisher,anchor_efficiency_fraction,known_local_error,anchored_local_error
readout,0.317,0,0.31,5,31,7296,14592,0.18000000000000005,0.7134640889222172,262463.58849326544,213491.69361671724,2.913225216616411e-11,188228.60853527603,0.8134145191046004,0.0019519355275702443,0.0021642603782738097
readout,0.317,0,0.31,6,63,15360,30720,0.18000000000000005,0.7209860128669077,1384797.671780719,1171051.345033189,2.3294433049159124e-10,1218131.0848491592,0.8456479736330923,0.0008497806498459811,0.0009240852354739605
readout,0.317,0,0.31,7,127,31616,63232,0.18000000000000005,0.7145000405198209,6335546.063319108,5834118.7553210985,3.494733391562477e-10,5660025.337440563,0.9208549187415553,0.00039729031085006754,0.0004140114645114841
readout,0.317,0,0.31,8,255,64256,128512,0.18000000000000005,0.7216112762326303,27858837.665310685,27246035.440062616,3.069544618483633e-12,25981512.99510101,0.9780033096638803,0.00018946042345722704,0.00019157919382999745
readout,0.317,0,0.31,9,511,129664,259328,0.17999999999999994,0.7207151928881347,55174562.703886166,43170986.48763323,3.865352482534945e-12,45323794.3636079,0.7824436546842359,0.00013462649841961336,0.00015219627164579652
readout,0.317,1,0.87,3,7,1408,2816,0.18000000000000016,0.72,17578.37214525924,16973.677151496013,1.8474111129762605e-12,16939.548546281123,0.9656000573451103,0.00754241931031699,0.007675594646910979
readout,0.317,1,0.87,4,15,3328,6656,0.17999999999999994,0.7307448704002062,18778.00943467207,17587.70902988078,2.5295321393059567e-12,16941.059828686244,0.9366120030489763,0.007297518817435955,0.007540417001555459
readout,0.317,1,0.87,5,31,7296,14592,0.18000000000000005,0.7216528642779791,235731.89725418712,188309.25693958352,2.9103830456733704e-11,188228.60853527603,0.7988280717756736,0.002059637660058605,0.0023044334211659544
readout,0.317,1,0.87,6,63,15360,30720,0.17999999999999972,0.7261033564116556,1236121.8907927773,1023753.031742516,1.185185283247847e-10,1218131.0848491592,0.8281974774234763,0.000899434104982461,0.0009883309587897617
readout,0.317,1,0.87,7,127,31616,63232,0.18000000000000005,0.7297369232768183,5972288.160688529,5460314.617126474,4.547473508864641e-13,5660025.337440563,0.9142751438331418,0.00040919434475989,0.0004279481630345549
readout,0.317,1,0.87,8,255,64256,128512,0.17999999999999994,0.7294597119301454,26309310.37693026,25689667.094215263,1.3969838619232178e-09,25981512.99510101,0.9764477565607975,0.00019495988848923488,0.00019729712727806767
readout,0.317,1,0.87,9,511,129664,259328,0.17999999999999994,0.7335155911407611,51916974.83369084,41302224.00470871,9.336247330793412e-10,45323794.363607906,0.795543733759814,0.0001387858887156405,0.00015560132151373675
readout,0.317,2,1.49,3,7,1408,2816,0.18000000000000005,0.6985047115323899,14597.459192501181,13977.432502787271,0.0,16939.548546281123,0.9575250266818748,0.008276779112648814,0.008458362585167144
readout,0.317,2,1.49,4,15,3328,6656,0.17999999999999983,0.7442626052971444,19493.03319897908,18355.50392842766,4.547473508864641e-13,16941.059828686244,0.941644316770004,0.007162428321692692,0.007381027849582384
readout,0.317,2,1.49,5,31,7296,14592,0.18000000000000016,0.7358478391041429,205607.81668675653,161246.28470852616,9.379164112033322e-13,188228.60853527603,0.7842419967631136,0.002205363534601853,0.0024903199148157895
readout,0.317,2,1.49,6,63,15360,30720,0.17999999999999983,0.7409900509249322,1167485.1912637574,958346.8249766655,2.353317540837452e-10,1218131.0848491592,0.8208642235018778,0.0009254954963424371,0.001021500646471952
readout,0.317,2,1.49,7,127,31616,63232,0.18000000000000005,0.7438300253270391,5668455.77296102,5153497.208149051,1.8953869584947824e-09,5660025.337440562,0.9091536415846515,0.00042001772546848397,0.000440503108499663
readout,0.317,2,1.49,8,255,64256,128512,0.18000000000000005,0.743369236382164,25019990.569594666,24395910.21314172,5.826734650327126e-10,25981512.99510101,0.9750567309481182,0.00019992008564443365,0.00020246105093090538
readout,0.317,2,1.49,9,511,129664,259328,0.18000000000000016,0.7372430922458486,48745761.23273234,39256262.247083865,1.1954170986427926e-10,45323794.363607906,0.8053266838865907,0.00014322920176634626,0.00015960464512460276
gate,0.173,0,0.19,3,7,1408,2816,0.012,0.851583896697063,17828.88560335944,14840.5537869088,3.694822225952521e-12,21099.503301299435,0.8323881883067579,0.007489242631577383,0.008208710629763515
gate,0.173,0,0.19,4,15,3328,6656,0.011999999999999997,0.6936695640959889,68850.9456631392,60614.160569587155,9.549694368615746e-12,91255.6323864936,0.8803678727398834,0.003811053497281324,0.004061747786312708
gate,0.173,0,0.19,5,31,7296,14592,0.012,0.4994908919528128,191692.29358573916,177312.71929674753,9.094947017729282e-12,397366.2936190137,0.9249861639192083,0.0022840082755619003,0.0023748164844986496
