reduction_index,source,graph6,reduced_graph6,n,leaf,neighbour,coverage,total_time,screen_steps,original_success,reduced_success,absolute_difference
575,atlas,FyUx?,Djk,7,6,2,1.0,10.0,120,0.532108608281388,0.7870337635267449,0.25492515524535697
187,atlas,FiG`G,DgC,7,4,2,1.0,10.0,120,0.3111557402603211,0.5636989691932075,0.2525432289328864
209,atlas,Fpa?g,D_S,7,1,0,1.0,10.0,120,0.4710520409392799,0.7222057143349163,0.25115367339563643
210,atlas,Fpa?g,DGK,7,4,0,1.0,10.0,120,0.4710520409392799,0.722205714334916,0.2511536733956361
16,atlas,Dh_,Bg,5,4,0,1.0,5.0,120,0.5081218260186778,0.7575388372825782,0.24941701126390037
15,atlas,Dh_,Bo,5,3,2,1.0,5.0,120,0.5081218260186778,0.7575388372825778,0.24941701126389992
261,atlas,Fh?Dw,Dh?,7,4,6,1.0,10.0,120,0.47377117694312487,0.722205714334916,0.2484345373917911
262,atlas,Fh?Dw,Dh?,7,5,6,1.0,10.0,120,0.47377117694312487,0.722205714334916,0.2484345373917911
147,atlas,FEW`?,DY?,7,5,2,1.0,10.0,120,0.47387842284007087,0.7222057143349162,0.24832729149484534
148,atlas,FEW`?,DY?,7,6,2,1.0,10.0,120,0.47387842284007087,0.7222057143349162,0.24832729149484534
0,atlas,Bo,@,3,1,0,1.0,10.0,120,0.593143923572217,0.8412049218574962,0.24806099828527917
1,atlas,Bo,@,3,2,0,1.0,10.0,120,0.593143923572217,0.8412049218574962,0.24806099828527917
436,atlas,F~AGO,D~_,7,6,4,1.0,5.0,120,0.5864018288718517,0.8343983275726448,0.2479964987007931
197,atlas,Fg?hg,DDs,7,0,1,1.0,5.0,120,0.377841792831987,0.6251365048081513,0.24729471197616432
169,atlas,FkoK?,DcC,7,6,0,1.0,10.0,120,0.47557735545460655,0.7222057143349162,0.24662835888030965
167,atlas,FkoK?,Dp?,7,3,0,1.0,10.0,120,0.47557735545460655,0.7222057143349159,0.24662835888030932
144,atlas,FaOH_,DiC,7,2,6,1.0,5.0,120,0.5836546743254898,0.8299891303728326,0.24633445604734283
689,unit_disk,H`XGEYA,F`XMW,9,6,8,1.0,5.0,120,0.39367869066186056,0.6396269623652122,0.24594827170335165
545,atlas,Flfs?,Dhw,7,6,0,1.0,10.0,120,0.5535635272800773,0.7991646704340494,0.24560114315397208
171,atlas,FhG`G,D_C,7,3,2,1.0,10.0,120,0.5142918882440699,0.7597594577729766,0.2454675695289067
172,atlas,FhG`G,D_C,7,4,2,1.0,10.0,120,0.5142918882440699,0.7597594577729766,0.2454675695289067
571,atlas,FzNG_,Dxs,7,6,3,1.0,10.0,120,0.5416218756301332,0.7870337635267459,0.24541188789661272
184,atlas,FHAgg,DHC,7,4,5,1.0,10.0,120,0.4774353128470734,0.7222057143349162,0.2447704014878428
182,atlas,FHAgg,DgG,7,0,5,1.0,10.0,120,0.4774353128470734,0.7222057143349155,0.24477040148784213
703,unit_disk,I~QtgPG|_,G~myFw,10,7,4,1.0,10.0,120,0.45033504890230946,0.6937646118607315,0.243429562958422
603,atlas,Fp~oO,Dp{,7,6,4,1.0,10.0,120,0.45421723853634965,0.6971628964984191,0.24294565796206946
589,atlas,F~wY?,D}K,7,6,1,1.0,10.0,120,0.5465790379415744,0.7870337635267455,0.24045472558517111
559,atlas,Fxv_G,Dxs,7,6,5,1.0,10.0,120,0.5466285487907656,0.7870337635267459,0.2404052147359803
180,atlas,FhoGO,Dh?,7,5,4,1.0,10.0,120,0.4822891960930268,0.722205714334916,0.2399165182418892
181,atlas,FhoGO,Dh?,7,6,4,1.0,10.0,120,0.4822891960930268,0.722205714334916,0.2399165182418892
348,atlas,FjtA?,DL?,7,5,1,1.0,10.0,120,0.48286665328959566,0.7222057143349159,0.2393390610453202
349,atlas,FjtA?,DL?,7,6,1,1.0,10.0,120,0.48286665328959566,0.7222057143349159,0.2393390610453202
488,atlas,F^eH?,D\c,7,6,2,1.0,10.0,120,0.5600845272478594,0.7991646704340498,0.23908014318619042
